Sample,Label,%Area,Line Length,Point Count
1,1010 200X.jpg,19.544,254.06,27
2,1010 200X.jpg,17.417,254.06,38
3,1010 200X.jpg,13.573,254.06,33
4,1010 200X.jpg,21.082,254.06,29
5,1010 1000x 5.jpg,17.352,281.27,20
6,1010 1000x 5.jpg,18.764,281.27,20
7,1010 1000x 5.jpg,21.965,281.27,18
8,1010 1000x 5.jpg,25.488,281.27,24
9,1010_20X_1.jpg,15.711,114.82,16
10,1010_20X_1.jpg,17.08,114.82,14
11,1010_20X_1.jpg,16.861,114.82,16
12,1010_20X_1.jpg,15.526,114.82,15
13,1010_50X_1.jpg,18.318,74.61,10
14,1010_50X_1.jpg,17.462,74.61,10
15,1010_50X_1.jpg,17.124,74.61,11
16,1010_50X_1.jpg,17.195,74.61,11
17,1010_50X_3.jpg,13.685,103.64,13
18,1010_50X_3.jpg,20.841,103.64,13
19,1010_50X_3.jpg,18.15,103.64,16
20,1010_50X_3.jpg,33.568,103.64,14
21,1010_50X_4.jpg,19.126,104.75,10
22,1010_50X_4.jpg,19.612,104.75,15
23,1010_50X_4.jpg,21.916,104.75,17
24,1010_50X_4.jpg,34.418,104.75,14
25,1010 300x 3.jpg,19.913,467.63,25
26,1010 300x 3.jpg,23.034,467.63,25
27,1010 300x 3.jpg,22.09,467.63,25
28,1010 300x 3.jpg,21.592,467.63,31
29,1010 1000x 3.jpg,17.518,196.42,16
30,1010 1000x 3.jpg,15.393,196.42,17
31,1010 1000x 3.jpg,14.643,196.42,15
32,1010 1000x 3.jpg,18.505,196.42,18
33,1010 1000x 4.jpg,10.636,195.93,13
34,1010 1000x 4.jpg,9.41,195.93,11
35,1010 1000x 4.jpg,15.625,195.93,14
36,1010 1000x 4.jpg,14.439,195.93,11
37,1010_20X_3.jpg,17.512,165.07,15
38,1010_20X_3.jpg,16.822,165.07,15
39,1010_20X_3.jpg,17.963,165.07,19
40,1010_20X_3.jpg,18.957,165.07,17
41,1010_20X_4.jpg,12.802,144.5,14
42,1010_20X_4.jpg,15.99,144.5,15
43,1010_20X_4.jpg,13.675,144.5,16
44,1010_20X_4.jpg,14.681,144.5,12
45,1010_50X_2_.jpg,17.232,72.33,6
46,1010_50X_2_.jpg,11.524,72.33,8
47,1010_50X_2_.jpg,12.878,72.33,8
48,1010_50X_2_.jpg,17.408,72.33,8
49,1010 300x.jpg,18.652,314.7,25
50,1010 300x.jpg,16.25,314.7,17
51,1010 300x.jpg,19.486,314.7,15
52,1010 300x.jpg,16.111,314.7,22
53,1010 300x 2.jpg,13.366,320.51,23
54,1010 300x 2.jpg,15.028,320.51,22
55,1010 300x 2.jpg,14.057,320.51,26
56,1010 300x 2.jpg,14.481,320.51,19
57,1010 1000x.jpg,23.726,224.17,15
58,1010 1000x.jpg,20.922,224.17,16
59,1010 1000x.jpg,19.568,224.17,16
60,1010 1000x.jpg,20.183,224.17,19
61,1010 1000x 2.jpg,21.532,229.81,22
62,1010 1000x 2.jpg,17.982,229.81,14
63,1010 1000x 2.jpg,18.27,229.81,20
64,1010 1000x 2.jpg,19.254,229.81,18
65,1010_20X_2.jpg,25.295,0,0
66,1010_20X_2.jpg,13.543,0,0
67,1010_20X_2.jpg,20.213,0,0
68,1010_20X_2.jpg,19.105,0,0
69,1010 300x 5.jpg,14.289,0,0
70,1010 300x 5.jpg,18.076,0,0
71,1010 300x 5.jpg,13.331,0,0
72,1010 300x 5.jpg,16.317,0,0
